startt-ppa-id,personalInformation_name,company,designation,period
,Ashwin Kandoi,Winjit Technologies Pvt Ltd,Founder Director,Jan 2000 - Present
,Ashwin Kandoi,Asea Brown Boveri,nan, - 
,Ashwin Kandoi,Ashok Modi & Co,Financial Controller,Nov 2001 - Nov 2003
,Ashwini Deshpande,INDIGO Paints Limited,Independent Woman Director,May 2023 - Present
,Ashwini Deshpande,Elephant Design Pvt Ltd,Director,May 1989 - Present
,Ashwini Deshpande,The Design Alliance Asia,Core Committee Member,Jan 2000 - Present
,Avinash Bidaia,Collective Artists Network,Founding Partner,Apr 2021 - Present
,Avinash Bidaia,KWAN ENTERTAINMENT AND MARKETING SOLUTIONS PRIVATE LIMITED,Business Head,Oct 2010 - Mar 2021
,Avinash Bidaia,AIESEC India,Vice President Business Development,Jun 2009 - Aug 2010
,Avinash Bidaia,Warsaw University Poland,Trainee,Feb 2009 - May 2009
,Avinash Bidaia,AIESEC Bangalore,President,Jan 2006 - Jan 2009
,Avinash Bidaia,AIESEC Alumni Association,Organizing Committee President,Jan 2007 - Oct 2007
,Avinash Singh,Genenest,Founder and CEO,Apr 2020 - Present
,Avinash Singh,MachPhy Solutions,Director Of Business Operations,Oct 2021 - Present
,Avinash Singh,StockDaddy,CAO,Jun 2021 - Present
,Avinash Singh,EaseMyTrade,CAO,Apr 2021 - Present
,Avinash Singh,SYNG Pharmaceuticals Inc,COO-India,Oct 2019 - Present
,Avinash Singh,BioDx Healthcare,Managing Director,Dec 2017 - Present
,Avinash Singh,"Avantor Performance Materials, Inc.",National Sales Manager,Feb 2015 - Nov 2017
,Avinash Singh,Meril Diagnostic India Pvt Ltd,National Sales Manager,Aug 2013 - Jan 2015
,Avinash Singh,"Alere, Inc.",National Sales Manager,Jan 2011 - Dec 2012
,Avinash Singh,Standard Diagnostic Inc.,Zonal Head,Sep 2008 - Dec 2010
,Avinash Singh,Genetix Biotech Asia Pvt Ltd,Area Sales Manager,Jun 2006 - Aug 2008
,Avinash Singh,Genetech Diagnostic Pvt Ltd,Manager-Clinical services,Mar 2003 - Aug 2006
,Avinash Singh,"Auroprobe Laboratories, New Delhi",Research Scientist,Jan 2002 - Mar 2003
,Ayaz A Kabani,Indian School of Hairdressing,Founder,Jan 2015 - Present
,Ayaz A Kabani,Beauty Essentials Marketing Pvt Ltd,Managing Director,Apr 2008 - Present
,Balamurugan Mani,Ventes Avenues,Co-Founder,Apr 2015 - Present
,Balamurugan Mani,FreeCharge.in,AGM-Sales Operations and Support,Aug 2013 - Apr 2015
,Balamurugan Mani,Hungama Digital Media Entertainment Pvt Ltd,Sr.Manager â€“ Sales Support/National Coordinator,Sep 2009 - Aug 2013
,Balamurugan Mani,OOH Media (Out of Home Media India Pvt Ltd),Manager Sales Support/National Coordinator,Dec 2006 - Sep 2009
,Balamurugan Mani,Hungama TV,Asst. Manager â€“ Sales Support,Jun 2005 - Dec 2006
,Bharat Sethi,Rage Coffee,Founder & CEO,Mar 2019 - Present
,Bharat Sethi,iDecorama,CEO & co-Founder,Mar 2016 - Mar 2018
,Bharat Sethi,PosterGully,Founder & CEO,Apr 2012 - Aug 2016
,Bharat Sethi,WOne Management Systems,Business Analyst,Sep 2011 - Sep 2012
,Bharat Sethi,GLG (Gerson Lehrman Group),Analyst,May 2011 - Sep 2011
,Bharati B.,Shopify,"Country Head and Director, India and South East Asia",Jun 2022 - Present
,Bharati B.,Future Group India,"Senior Vice President, Digital Commerce",May 2019 - Aug 2021
,Bharati B.,Paytm Mall,Vice President and Head of Categories,Jan 2018 - May 2019
,Bharati B.,Alibaba Group,Senior Director,May 2016 - Jun 2018
,Bharati B.,LocalOye,Chief Business Officer,Jun 2015 - Apr 2016
,Bharati B.,Healthspring - Family Health Experts,"Head, Operations & Service Delivery",May 2011 - Jun 2015
,Bharati B.,HSBC,"Manager, Group M&A",Feb 2010 - Apr 2011
,Bharati B.,Bain & Company,Senior Consultant,Jun 2006 - Jan 2010
,Bhargav JANGLE,SJ Contracts Pvt Ltd,Director,Aug 2011 - Present
,Bhargav JANGLE,GSK Biologicals,Graduate Trainee - Procurement,Apr 2010 - May 2011
,Bhargav JANGLE,ICICI Bank,Management Trainee - Compliance,Apr 2007 - Jul 2008
,Dr.A.Bhaskar Rao,Sreshta Sri Kamala Hospitals,Chief Executive Officer,Jun 2024 - Present
,Dr.A.Bhaskar Rao,Prathima Hospitals,Group Vice President,Jan 2023 - Jun 2024
,Dr.A.Bhaskar Rao,Poulomi Hospitals,Chief Operating Officer,Aug 2022 - Sep 2022
,Dr.A.Bhaskar Rao,SLG Hospitals,Medical Superintendent,Feb 2022 - Apr 2022
,Dr.A.Bhaskar Rao,KIMS Hospitals,DMS,Jun 2020 - Apr 2021
,Dr.A.Bhaskar Rao,Yashoda Hospitals,Senior Medical Administrator,Dec 2009 - Jun 2020
,Dr.A.Bhaskar Rao,Mahindra & Mahindra,Chief Medical Administrator,May 2007 - Dec 2009
,Dr.A.Bhaskar Rao,The India Cements Ltd,CHIEF MEDICAL OFFICER,Nov 2005 - Apr 2007
,Dr.A.Bhaskar Rao,Mamata Medical College,CASUALTY MEDICAL OFFICER,Nov 2002 - Nov 2005
,Bhavesh Jain,TransUnion CIBIL Limited,Managing Director and CEO,Jan 2017 - Present
,Bhavesh Jain,Thomson Reuters,"Head of Sales - Risk, South Asia",May 2016 - Jan 2017
,Bhavesh Jain,"Credit Information Bureau (India) Limited, CIBIL","Head - Large Private Banks, Insurance & Telecom",Jul 2008 - Apr 2016
,Bhavesh Jain,Citifinancial Consumer Finance India Ltd,Channel Head - Western Mumbai,May 2005 - Jul 2008
,Bhavesh Jain,KONE,Management Trainee,Oct 2002 - Aug 2003
,Bhavin Pandya,Games24x7,Chief Executive Officer,Mar 2006 - Present
,Bhavin Pandya,New York University,"Teaching Assistant, Instructor - Economics",Aug 2004 - Dec 2005
,Bhavin Pandya,General Electric Healthcare,Engineering Intern,Sep 1999 - Aug 2000
,Bhavna Udernani,Adhaan Solution Pvt Ltd,Managing Director,Jul 2010 - Present
,Bhavna Udernani,Teamlease Services Pvt Ltd,Manager sourcing,Jun 2005 - Jun 2010
,Bhavna Udernani,TaskPlacemark Consultants Pvt Ltd,Associate Consultant,Oct 2004 - May 2005
,Bhavna Udernani,Utkarsh Placements,Project Leader,Jan 2004 - Sep 2004
,Bhumika Srivastava,Walmart Global Tech India,People Leader,Apr 2023 - Present
,Bhumika Srivastava,Multiple Startups,Board Advisor and Angel Investor,Jul 2022 - Present
,Bhumika Srivastava,Polygon Technology,Global head of HR,Jun 2022 - Nov 2022
,Bhumika Srivastava,Airbnb,"Head HR & Director, Employee Experience",May 2017 - Jun 2022
,Bhumika Srivastava,Snapdeal,Senior Director Human Resources,Apr 2015 - Apr 2017
,Bhumika Srivastava,Tesco PLC,Senior Human Resources Manager,Mar 2013 - Apr 2015
,Bhumika Srivastava,Yahoo!,Human Resources Manager,Mar 2011 - Feb 2013
,Bhumika Srivastava,Adobe Systems,Head Of Recruitment & HR Business Partner,Mar 2007 - Feb 2011
,Bhumika Srivastava,Newgen,Assistant Manager - HR,Nov 2000 - Feb 2007
,Brahmanand Mohanty,Freelance,Knowledge seeker,Sep 2020 - Present
,Brahmanand Mohanty,Independent,Energy and Resource Management Expert,Sep 1996 - Aug 2020
,Brahmanand Mohanty,Asian Institute of Technology,Associate Professor,Jul 1986 - Aug 1996
,Brahmanand Mohanty,Centre d'Etudes Nucleaires,Foreign Collaborator,Jan 1986 - Jun 1986
,Byju Pillai,Inflow Technologies Pvt Ltd,Founder & Group Managing Director,Apr 2019 - Present
,Byju Pillai,Inflow Technologies SAARC,"Founder, President & CEO",Apr 2005 - Apr 2019
,Byju Pillai,Subsidiary of Wipro ePeripherals Ltd,President-Select Technologies Ltd,Jan 2004 - Dec 2005
,Byju Pillai,Select Technologies,"Founder, President & CEO",Jul 1999 - Mar 2004
,Byju Pillai,Powertel Boca Ltd,General Manager-Sales & Marketing,Sep 1996 - Jun 1999
,Byju Pillai,Godrej & Boyce Mfg. Co. Ltd.,Channel Manager,Jan 1991 - Sep 1996
,Byju Pillai,HCL Infosystems Ltd.,Sales Executive,Dec 1988 - Jan 1991
,Chandan Joshi,MobiKwik,Co-Founder MobiKwik & CEO Payments,Apr 2018 - Jan 2025
,Chandan Joshi,NuvoEx,Business Head- Logistics,Jan 2017 - Oct 2017
,Chandan Joshi,Paketts,Founder & CEO,Feb 2015 - Dec 2016
,Chandan Joshi,Credit Suisse,Associate Trader,Jul 2010 - Oct 2014
,Chandan Joshi,Futures First,Branch Head,Jan 2004 - Dec 2008
,Chandrahas Panigrahi,Let's Game Now,"Co-founder, Board Member, CEO",Nov 2022 - Present
,Chandrahas Panigrahi,Edukemy,Co-Founder & CEO,Jun 2020 - Oct 2022
,Chandrahas Panigrahi,Acer,CMO & Consumer Business Head,May 2015 - Jun 2020
,Chandrahas Panigrahi,AMD,Director - Consumer and Mobility Business,Jun 2010 - Apr 2015
,Chandrahas Panigrahi,Hewlett-Packard,"Country Category Manager - Mobility Business, India",Jan 2008 - Dec 2010
,Chandrasekhar Gopalan,Sutures India Pvt. Ltd,Chairman, - 
,Chetan Mehra,Karma Energy Ltd,Vice Chairman,Apr 2015 - Present
,Chetan Mehra,Weizmann Forex Ltd,Vice Chairman,Jan 1986 - Mar 2019
,Chiranth Patil,Riskcovry,"Co-founder â€¢ Strategy, Product & Growth",Feb 2018 - Present
,Chiranth Patil,BetaPlus Capital Partners,Partner â€¢ Co-founder,Jul 2015 - Present
,Chiranth Patil,MEDICI Global,EiR â€¢ Head of Ecosystem Development,Oct 2016 - Sep 2018
,Chiranth Patil,AmberTAG Analytics Pvt. Ltd.,Volunteer,Aug 2015 - Feb 2018
,Chiranth Patil,Gito.me,CEO,Jan 2013 - Jul 2015
,Chiranth Patil,Zuna Asset Management,Partner,Feb 2012 - Dec 2013
,Chiranth Patil,Deloitte Consulting,"Consultant, Strategy and Operations",Jun 2010 - Feb 2012
,Chiranth Patil,Fidelity Investments,Senior Systems Analyst,Jul 2009 - Jun 2010
,Deepak Agarwal,Bikaji Foods International Ltd.,Director,Jan 2002 - Present
,Deepak Garg,AnywhereJobs,Founder,Jan 2023 - Present
,Deepak Garg,Various Companies,Angel Investor,Jan 2015 - Present
