startt-angel-id,investor-name,summary,confidence_score,data_quality_score,total_investments,location,processing_timestamp,,,,
st-ppa-91,Aman Gupta,"Aman Gupta, with 34 years in leadership roles at companies like boAt and HARMAN International, offers strategic insights into Consumer Goods & Services and HealthTech sectors. His investment pattern shows a focus on Personal Products and Niche E-Commerce Platforms, providing founders access to a seasoned network and expertise in scaling consumer-centric businesses across India.",0.873015873,1.066666667,66,,2025-05-25T18:26:07.584443,,,,
st-ppa-111,Amit Ranjan,"Amit Ranjan, with 34 years of experience as a co-founder at SlideShare and director at LinkedIn, offers strategic insights in technology & digital innovation sectors. His investment focus includes AI and emerging technologies, demonstrated by recent investments like Bobble AI and Endless Robotics. Ideal for founders seeking guidance in tech-driven ventures, particularly those exploring AI and Web3 innovations.

(Note: Geographic relevance is not specified; assume broad applicability unless otherwise noted.)",0.673015873,1.066666667,22,,2025-05-25T18:26:13.914030,,,,
st-ppa-1237,Varun Alagh,"Varun Alagh, with 18 years of leadership at Honasa Consumer Pvt Ltd, brings deep retail & digital commerce insights. His portfolio emphasizes technology-driven sectors like AI and niche e-commerce, investing in over 50 companies such as AdmitKard and AlmaBetter. Founders gain strategic guidance from his proven track record in emerging technologies, enhancing growth potential across relevant geographies.

(Note: Geographic relevance is inferred based on the investor's professional background and investment focus.)",0.773015873,1.066666667,50,,2025-05-25T18:26:20.473659,,,,============================================================
st-ppa-612,Miten Sampat,"Miten Sampat, with 33 years of experience including roles at CRED and Neustar Inc., offers strategic insights in AI and enterprise software. His portfolio spans technology, healthcare, and retail sectors, focusing on innovative digital commerce solutions. Active in recent years, he provides founders access to a network of niche e-commerce platforms like DEZY and IndiaGold, enhancing credibility and growth potential.

---

This summary emphasizes Sampat's professional background, sector expertise, investment focus, and the specific value he offers to founders, particularly those in technology and digital innovation sectors.",0.806349206,1.066666667,23,,2025-05-25T18:26:27.909659,,,,ANALYSIS SUMMARY
st-ppa-89,Aloke Bajpai,"Aloke Bajpai, with 27 years of leadership experience at ixigo and Confirmtkt, offers strategic insights in digital media and consumer services. His investment focus includes entertainment, food tech, and social media sectors, demonstrated by recent investments like MealHopper and InstaAstro. Founders gain from his deep industry knowledge and active engagement with innovative startups across diverse geographies.

(Note: Geographic relevance is not specified; assume broad applicability based on sector expertise.)",0.773015873,1.066666667,11,,2025-05-25T18:26:34.669197,,,,============================================================
st-ppa-851,Rajaraman Santhanam,"Rajaraman Santhanam, co-founder of Chargebee Inc., leverages 24 years in tech with a keen focus on AI, enterprise software, and FinTech. His investment pattern shows active engagement in digital innovation sectors, offering strategic insights and credibility for startups aiming to scale in technology-driven markets globally.",0.657142857,1,11,,2025-05-25T18:26:39.887192,,,,Total Profiles                : 1241
st-ppa-32,Abhishek Rungta,"Abhishek Rungta, with 28 years as CEO at Indus Net Technologies, is a seasoned leader in digital marketing and enterprise solutions. His investment focus spans Technology & Digital Innovation, FinTech, and Industry 4.0 sectors, including InsurTech and Enterprise Software. Founders seeking capital in these areas will benefit from his strategic insights and active engagement in recent investments, offering tailored support for growth and innovation.

(Note: Geographic relevance is not specified; assume broader market applicability unless otherwise indicated.)",0.873015873,1.066666667,9,,2025-05-25T18:26:47.194826,,,,High Confidence (>0.7)        : 660
st-ppa-540,Kunal Bahl,"Kunal Bahl, with 54 years of experience founding successful ventures like Snapdeal and Titan Capital, offers strategic insights in retail & digital commerce and FinTech. His active investment history (104 deals) emphasizes niche e-commerce platforms and emerging technologies, providing founders with sector-specific expertise and a robust network for growth, particularly relevant to Indian markets.

---

This summary highlights Kunal Bahl's extensive experience, specific industry focus, and geographic relevance, offering strategic value to founders seeking capital in related sectors.",0.873015873,1.066666667,104,,2025-05-25T18:26:54.663831,,,,Medium Confidence (0.3-0.7)   : 546
st-ppa-646,Munish Jauhar,"Munish Jauhar, with 57 years in tech-focused venture capital, offers strategic insights as a founder of GrayCell Ventures and Technologies. His expertise spans Cloud Computing, TravelTech, and Media Production, backed by investments in companies like LogiNext and KWENCH. As Chair of NASSCOM Chandigarh & Punjab, he provides regional influence and sector-specific guidance for founders seeking growth capital in these innovative fields.",0.861904762,1,8,,2025-05-25T18:27:01.021099,,,,Low Confidence (<0.3)         : 35
st-ppa-235,Ashish Sharma,"Ashish Sharma, with 27 years in finance and leadership roles at GE, is Managing Partner at Innoven Capital India, focusing on Technology & Digital Innovation, EdTech, and FinTech. His portfolio includes ByteLearn and MilkBasket, demonstrating expertise in Enterprise Software and niche e-commerce. Ideal for founders seeking strategic guidance and capital in these sectors within India.

---

This summary emphasizes Ashish Sharma's extensive experience, sector-specific investment focus, and geographic relevance to Indian startups, providing a clear value proposition for founders.",0.757142857,1,13,,2025-05-25T18:27:07.963035,,,,Average Confidence            : 0.6938515789877595
st-ppa-299,Bipin Shah,"Bipin Shah, with 47 years in finance and venture capital, is the Founder & Managing Partner of Zeropearl VC. His expertise lies in Technology & Digital Innovation, Financial Services, and Healthcare sectors. With a focus on Emerging Technologies and Consumer Health, he offers strategic insights and connections to founders seeking growth in these areas.",0.828571429,1,26,,2025-05-25T18:27:13.515883,,,,Average Investments           : 5.053182917002418
