startt_uid,company-name,match_industry,match_sector,match_subsector
st-c-1,&ME,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-2,#Fame,Entertainment & Media,Social & Digital Media,Social Media Platforms
st-c-6,100 Marks,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-7,100ms,Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-9,10times,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-10,121Policy,Financial Services & FinTech,InsurTech,Digital Insurance Platforms
st-c-11,13SQFT,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-12,19thMile,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-13,1Bridge,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-14,1CLICK,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-16,1K Kirana Bazaar,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-17,1Kosmos,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-18,1MG,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-19,20Dresses,Textiles & Apparel,FashionTech,Digital Fashion Platforms
st-c-20,21K School,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-21,247around,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-22,33Coupons,Retail & Digital Commerce,Retail Technology,ONDC
st-c-23,360Ride,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-24,3Dexter,Education & EdTech,EdTech,Learning Management Systems
st-c-25,3EV Industries,Automotive & Components,Vehicle Manufacturing & OEMs,Electric & Hybrid Vehicles (EVs)
st-c-27,3rdFlix,Textiles & Apparel,FashionTech,Virtual & Augmented Reality Solutions
st-c-28,3SC,Retail & Digital Commerce,Supply Chain & Distribution,Warehouse Management Systems
st-c-29,48East,Food & Beverage,Restaurant & Food Service,Cloud Kitchens
st-c-30,4amShop,Retail & Digital Commerce,Quick Commerce,Essentials Quick Delivery
st-c-31,4baseCare,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-32,4tigo,Transportation & Logistics,Logistics,Freight Tech
st-c-35,5ire,Technology & Digital Innovation,Emerging Technologies,Blockchain & Web3
st-c-36,5Paisa,Financial Services & FinTech,Investment & Wealth Tech,Stock Trading Apps
st-c-37,5th Vital,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-38,6Degree,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-39,75F,Technology & Digital Innovation,Cloud Computing & Infrastructure,Data Centers & Hosting
st-c-40,75inabox,Food & Beverage,Restaurant & Food Service,Cloud Kitchens
st-c-41,7Classes,Education & EdTech,EdTech,E-Learning Platforms
st-c-42,7InkBrews,Textiles & Apparel,Manufacturing & Supply Chain Innovation,Digital Textile Printing
st-c-44,88academics,Education & EdTech,EdTech,Educational Content & Curriculum
st-c-47,91Springboard,Education & EdTech,EdTech,E-Learning Platforms
st-c-50,99PerHour,Telecommunications,Communication Platforms,Cloud Telephony Services
st-c-54,"A5G Networks, Inc.",Technology & Digital Innovation,Emerging Technologies,5G Applications
st-c-55,Aadar,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Telehealth Infrastructure
st-c-56,Aadyah Aerospace,Automotive & Components,Automotive Technology,Autonomous Vehicles (AV Tech)
st-c-57,Aagaar,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-58,Aagey,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-59,Aahaa stores,Consumer Goods & Services,Personal Products,Ayurvedic & Natural Products
st-c-63,Aarna Networks,Technology & Digital Innovation,Artificial Intelligence,AI Infrastructure & Tools
st-c-64,AarogyaAI,Technology & Digital Innovation,Cloud Computing & Infrastructure,Cloud Storage Solutions
st-c-65,Rocket [AASAANJOBS PRIVATE LIMITED],Technology & Digital Innovation,Enterprise Software & Services,Industry-Specific Software (Vertical SaaS)
st-c-66,Aastey,Textiles & Apparel,FashionTech,Digital Fashion Platforms
st-c-67,Aavenir,Technology & Digital Innovation,Artificial Intelligence,AI Agents
st-c-68,AAYU,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Ambulatory Services
st-c-69,AayushBharat,Healthcare & Life Sciences (MedTech & Biotech),Pharmaceuticals,Ayurveda & Alternative Medicine
st-c-70,abCoffee,Food & Beverage,Food & Beverage Technology,Brewing Equipment & Solutions
st-c-71,AbeRuk,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-72,AbhiBus,"Travel, Hospitality & Experiences",TravelTech,Alternative Accommodation Marketplaces
st-c-73,Abhinay Maths,Education & EdTech,EdTech,E-Learning Platforms
st-c-74,ABI Health,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Providers & Services,Telemedicine Services
st-c-75,Abita Healthcare,Technology & Digital Innovation,Artificial Intelligence,Machine Learning
st-c-77,Able Jobs,Technology & Digital Innovation,Emerging Technologies,Internet of Things
st-c-78,AblePlus,Telecommunications,Connectivity Solutions,IoT & M2M Connectivity
st-c-79,Absentia,Entertainment & Media,Entertainment Technology,AR/VR Entertainment Technologies
st-c-80,Absolute,Healthcare & Life Sciences (MedTech & Biotech),Healthcare Equipment & Supplies,Wearable Health Devices
st-c-82,Absorbia,Consumer Goods & Services,Household Products,Home Organization & Storage
st-c-83,Acadview,Education & EdTech,Vocational & Skills Training,Corporate Training
st-c-84,Acceldata,Technology & Digital Innovation,Data & Analytics,Data Processing & Management
st-c-85,Accentium Web,Retail & Digital Commerce,Niche E-Commerce Platforms,Luxury & Premium Goods Marketplaces
st-c-86,Accio Robotics,Manufacturing & Industry 4.0,Industry 4.0 & Automation,Industrial Robotics & Automation
st-c-87,AccioJob,Education & EdTech,EdTech,E-Learning Platforms
st-c-88,Accion Labs,Technology & Digital Innovation,Enterprise Software & Services,Customer Relationship Management
st-c-89,Acculi Labs,Healthcare & Life Sciences (MedTech & Biotech),Consumer Health & Wellness,Health Monitoring Platforms
st-c-91,Ace Green Recycling,Textiles & Apparel,Sustainable Textiles,Recycling & Upcycling Solutions
st-c-92,Ace Turtle,Retail & Digital Commerce,Retail Technology,Inventory Management Systems
st-c-93,Acefour Accessories,CleanTech & Sustainability,Waste Management & Recycling,Plastic Recycling & Alternatives
st-c-94,AcknoLedger,Financial Services & FinTech,Web3 & Emerging Tech,Tokenization Platforms
st-c-95,Acko,Financial Services & FinTech,InsurTech,Digital Insurance Platforms
